C34075	手机淘宝	http://appstore.huawei.com:80/app/C34075	C5373:支付宝,C57804:天猫,C20252:京东,C40224:相片组合 Phot…,C10193357:微医,C174391:百度云,C32569:优酷,C55726:明星同款-一闪…,C183901:WiFi信号增强…,C2060:导航犬,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C57804:天猫,C5206:美团,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C10049053	华为商城	http://appstore.huawei.com:80/app/C10049053	C20252:京东,C5373:支付宝,C5683:微信,C34075:手机淘宝,C2060:导航犬,C10017070:高铁管家,C57804:天猫,C3466:酷狗音乐,C10047107:滴滴出行,C183901:WiFi信号增强…,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C57804:天猫,C5206:美团,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C121553	WPS Office	http://appstore.huawei.com:80/app/C121553	C37127:PDF阅读器 …,C5373:支付宝,C10191116:图片合成器,C10047107:滴滴出行,C10129690:听歌学英语,C10159654:更换字体管家(…,C6981:1药网,C183901:WiFi信号增强…,C10113430:CAD快速看图,C10107104:新华字典,C121553:WPS Office,C10096044:金山WPS Of…,C381:网易有道词典-…,C5458:驾考宝典-驾校…,C10113015:作业帮,C6468:金山词霸,C10068705:扫描全能王,C10082485:名片全能王,C10208807:驾校一点通,C10191382:小猿搜题,
C3382	百度地图	http://appstore.huawei.com:80/app/C3382	C34075:手机淘宝,C20252:京东,C183440:签证侠香香,C10179513:单机斗地主,C5683:微信,C174391:百度云,C183901:WiFi信号增强…,C2682:搜狗输入法,C10099655:铁路12306,C10032732:百度导航,C3382:百度地图,C20911:高德地图 ,C262:去哪儿旅行,C5157:携程旅行,C5745:天翼导航,C3403:高德导航,C39196:艺龙旅行,C10043914:和地图,C12192:同程旅游,C10027946:快的打车,
C10055832	华为文件管理(含网盘)	http://appstore.huawei.com:80/app/C10055832	C54626:铃声多多,C10114178:流量宝,C174391:百度云,C10067631:华为手机服务,C183901:WiFi信号增强…,C21976:UC浏览器,C10047107:滴滴出行,C10017070:高铁管家,C10100910:清理精灵,C10057661:Google Play,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C10207207	华为云服务	http://appstore.huawei.com:80/app/C10207207	C10067631:华为手机服务,C183901:WiFi信号增强…,C174391:百度云,C23707:违章查询,C21976:UC浏览器,C2682:搜狗输入法,C20252:京东,C6337:百度输入法,C10159654:更换字体管家(…,C77434:违章查询助手,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C10060708	华为支付	http://appstore.huawei.com:80/app/C10060708	C10174759:消灭糖果贺岁版,C10113531:保卫萝卜2,C10249215:超级玛丽酷跑,C10075868:地铁跑酷,C183901:WiFi信号增强…,C20252:京东,C54626:铃声多多,C10057661:Google Play,C174391:百度云,C10114178:流量宝,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C7166	微博	http://appstore.huawei.com:80/app/C7166	C34075:手机淘宝,C183901:WiFi信号增强…,C37161:YY,C5373:支付宝,C20252:京东,C5683:微信,C2682:搜狗输入法,C2217:我查查,C55726:明星同款-一闪…,C9319:QQ,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10154337:易信,C10085602:花粉俱乐部,C37549:189邮箱,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,
C10021449	音乐	http://appstore.huawei.com:80/app/C10021449	C3466:酷狗音乐,C10220136:QQ音乐,C10191116:图片合成器,C10017070:高铁管家,C5683:微信,C174391:百度云,C9319:QQ,C5373:支付宝,C54626:铃声多多,C37161:YY,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10162466:爱看4G,C22852:暴风影音,
C27162	华为应用市场	http://appstore.huawei.com:80/app/C27162	C20252:京东,C183901:WiFi信号增强…,C10067631:华为手机服务,C6014423:Google 键盘,C10047107:滴滴出行,C54626:铃声多多,C9319:QQ,C10114178:流量宝,C32569:优酷,C77434:违章查询助手,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C5373	支付宝	http://appstore.huawei.com:80/app/C5373	C34075:手机淘宝,C3382:百度地图,C10047107:滴滴出行,C174391:百度云,C20252:京东,C55726:明星同款-一闪…,C10099655:铁路12306,C183901:WiFi信号增强…,C20911:高德地图 ,C3466:酷狗音乐,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C57804:天猫,C5206:美团,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C5683	微信	http://appstore.huawei.com:80/app/C5683	C183901:WiFi信号增强…,C20252:京东,C9319:QQ,C3466:酷狗音乐,C34075:手机淘宝,C5373:支付宝,C10191116:图片合成器,C10017070:高铁管家,C40224:相片组合 Phot…,C3382:百度地图,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10154337:易信,C10085602:花粉俱乐部,C37549:189邮箱,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,
C9319	QQ	http://appstore.huawei.com:80/app/C9319	C20252:京东,C5683:微信,C34075:手机淘宝,C5373:支付宝,C3466:酷狗音乐,C41529:万年历日历,C2217:我查查,C183901:WiFi信号增强…,C2682:搜狗输入法,C10220136:QQ音乐,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10154337:易信,C10085602:花粉俱乐部,C37549:189邮箱,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,
